record_id,bagobo_text,english_text,tagalog_text,cebuano_text
SENT-0001,Ás Sandawà,Sandawa,Sandawa,Sandawa
SENT-0002,"Tô midugé dán banuwa, tô pagbánnal katô mga tô min-dugé dán banuwa Bagóbô ás Sandawa, manubù.","A long time ago on the earth, the belief of the Bagobo people was that Sandawa, he was a person.","Noong unang panahon sa daigdig, ang paniniwala ng mga Bagobo ay si Sandawa ay isang tao.","Kaniadto sa kalibutan, ang pagtuo sa mga Bagobo kay si Sandawa, usa siya ka tawo."
SENT-0003,"Ás Sandawà, duwán sábbad bayi migkalyagan din, ás Matutum.","As for Sandawa, there was a woman whom he married, who was Matutum.","Tungkol kay Sandawa, may isang babae siyang pinakasalan, na si Matutum.","Bahin kay Sandawa, adunay usa ka babaye nga iyang gipakaslan, nga mao si Matutum."
SENT-0004,"Duwán puman sábbad álló ás Sandawà, minarigan ki Mibuló.","There was another time when Sandawa, he felt love for Mibulo.","May isa pang pagkakataon na si Sandawa, nakaramdam siya ng pag-ibig kay Mibulo.","Adunay laing higayon diin si Sandawa, mibati siyag gugma kang Mibulo."
SENT-0005,"Na takud ta taladuma man si Sandawà asta si Matutum, si Matutum, ágtanud.","And naturally since Sandawa and Matutum were spouses to each other, Matutum, she was jealous.","At natural dahil mag-asawa sina Sandawa at Matutum, si Matutum ay nagselos.","Ug natural sanglit managtiayon man si Sandawa ug Matutum, si Matutum, nagselos siya."
SENT-0006,Migpudut din tô barira ággamitán ka gabál.,She picked up the batten that is used for weaving.,Kinuha niya ang pamalo na ginagamit sa paghahabi.,Gikuha niya ang galamiton nga ginagamit sa paghabol.
SENT-0007,Migbunal din ás Sandawà.,She beat Sandawa on the head.,Hinampas niya si Sandawa sa ulo.,Gibunalan niya si Sandawa sa ulo.
SENT-0008,"Purisu atin sumállág ka ki Sandawà, duwán kitanán nu nit ulu din ibállà.","Therefore if you look at Sandawa, you will see something here on its head that has been split apart.","Kaya kung titingnan mo si Sandawa, makikita mo ang isang bahagi sa ulo nito na nahati.","Busa kung tan-awon nimo si Sandawa, makita nimo ang usa ka bahin sa ulo niini nga nabulag."
SENT-0009,Tô gó miglapás i Matutum ka barira.,That is where Matutum beat him with the batten.,Diyan siya pinalo ni Matutum gamit ang pamalo.,Diha siya gibunalan ni Matutum gamit ang galamiton.
SENT-0010,Misókó si Sandawà.,Sandawa was angry.,Nagalit si Sandawa.,Nasuko si Sandawa.
SENT-0011,Migsipà din ás Matutum.,He kicked Matutum.,Sinipa niya si Matutum.,Gisipa niya si Matutum.
SENT-0012,"Ás Matutum, minantug tun ta madiyù.","As for Matutum, she was thrown far away.","Tungkol kay Matutum, tumilapon siya nang napakalayo.","Bahin kay Matutum, nalagpot siya sa layo."
SENT-0013,"Ni gabatá, mitángngátángngà.","As for these children of Sandawa and Matutum, they were divided up.","Tungkol sa mga anak nina Sandawa at Matutum, sila ay nagkahiwa-hiwalay.","Bahin niining mga anak nila Sandawa ug Matutum, gibahin-bahin sila."
SENT-0014,Duwán tô migtákkás ki Matutum dutut south.,There were those who accompanied Matutum to the south.,May mga sumama kay Matutum patungong timog.,Adunay mga mikuyog kang Matutum sa habagatan.
SENT-0015,"Yan gó mga Biraan, Tagakólu, Tagabóli, Kalagan, Manubù.","Those were the Blaans, Tagakaulos, Tbolis, Kalagans, Manobos.","Sila ang mga Blaan, Tagakaulo, Tboli, Kalagan, at Manobo.","Sila mao ang mga Blaan, Tagakaulo, Tboli, Kalagan, ug Manobo."
